genre,community,name,size
Local Community,NSW,FM 96.3,5000
Local Community,NSW,Heart FM,5000
Local Community,NSW,Heritage FM,5000
Local Community,NSW,Max FM,5000
Local Community,NSW,Monaro FM,5000
Local Community,NSW,Noosa Community,5000
Local Community,NSW,Opal FM,5000
Local Community,NSW,Port Stephens FM,5000
Local Community,NSW,Radio Northern,5000
Local Community,NSW,RIM FM,5000
Local Community,NSW,Spirit FM,5000
Local Community,NSW,SWR FM,5000
Local Community,NSW,Tank Radio,5000
Local Community,NSW,WOW FM,5000
Local Community,NT,102.1 fm,5000
Local Community,NT,8MAB,5000
Local Community,NT,Territory FM,5000
Local Community,QLD,103.9 triple t,5000
Local Community,QLD,4BAY,5000
Local Community,QLD,4BCR,5000
Local Community,QLD,4BRR,5000
Local Community,QLD,4CBL,5000
Local Community,QLD,4CCR,5000
Local Community,QLD,4CRM,5000
Local Community,QLD,4DDB,5000
Local Community,QLD,4DDD,5000
Local Community,QLD,4FCR,5000
Local Community,QLD,4GEM,5000
Local Community,QLD,4NAG,5000
Local Community,QLD,4RED,5000
Local Community,QLD,4YOU,5000
Local Community,QLD,Bay and Basin FM,5000
Local Community,QLD,Bwgcolman Radio,5000
Local Community,QLD,Classic Hits,5000
Local Community,QLD,COW FM,5000
Local Community,QLD,Crow FM,5000
Local Community,QLD,FM 99.7,5000
Local Community,QLD,Gulf FM,5000
Local Community,QLD,Rainbow FM,5000
Local Community,QLD,Rock FM,5000
Local Community,QLD,Valley FM 95.9,5000
Local Community,QLD,York FM,5000
Local Community,SA,5CCR,5000
Local Community,SA,5CST,5000
Local Community,SA,5EFM,5000
Local Community,SA,5GTR,5000
Local Community,SA,5KIX,5000
Local Community,SA,5PBA,5000
Local Community,SA,5RRR,5000
Local Community,SA,5TCB,5000
Local Community,SA,5THE,5000
Local Community,SA,5YYY,5000
Local Community,SA,Alex FM,5000
Local Community,SA,BBB-FM,5000
Local Community,SA,CB,5000
Local Community,SA,Great Southern FM,5000
Local Community,SA,SMART FM,5000
Local Community,SA,TRAX FM,5000
Local Community,SA,WOW FM,5000
Local Community,TAS,3HCR,5000
Local Community,TAS,7DBS,5000
Local Community,TAS,97.7 TASMAN FM,5000
Local Community,TAS,BOD FM,5000
Local Community,TAS,City Park Radio,5000
Local Community,TAS,HOBART FM 96.1,5000
Local Community,TAS,Huon FM,5000
Local Community,TAS,Tamar FM,5000
Local Community,VIC,3BBR-FM,5000
Local Community,VIC,3BBS,5000
Local Community,VIC,3CH,5000
Local Community,VIC,3ECB,5000
Local Community,VIC,3GCR,5000
Local Community,VIC,3GFM,5000
Local Community,VIC,3GRR,5000
Local Community,VIC,3HOT,5000
Local Community,VIC,3INR,5000
Local Community,VIC,3MBR,5000
Local Community,VIC,3MCR,5000
Local Community,VIC,3MDR,5000
Local Community,VIC,3MFM,5000
Local Community,VIC,3MGB,5000
Local Community,VIC,3NOW,5000
Local Community,VIC,3NRG,5000
Local Community,VIC,3ONE,5000
Local Community,VIC,3PVR,5000
Local Community,VIC,3REG,5000
Local Community,VIC,3RIM,5000
Local Community,VIC,3RPC,5000
Local Community,VIC,3RPP,5000
Local Community,VIC,3RUM,5000
Local Community,VIC,3SCB,5000
Local Community,VIC,3SER,5000
Local Community,VIC,3UGE,5000
Local Community,VIC,3VYV,5000
Local Community,VIC,3WAY,5000
Local Community,VIC,3WBC,5000
Local Community,VIC,3WPR,5000
Local Community,VIC,3WRB,5000
Local Community,VIC,94.7 the Pulse,120000
Local Community,VIC,97.1 MID FM,5000
Local Community,VIC,Apline Radio,5000
Local Community,VIC,Apple FM,5000
Local Community,VIC,Edge FM,5000
Local Community,VIC,OCR FM,5000
Local Community,VIC,Phoenix FM,5000
Local Community,VIC,Triple H,5000
Local Community,VIC,Voice FM,5000
Local Community,VIC,WYN-FM,5000
Local Community,WA,105.5 ROXFM,5000
Local Community,WA,6CCR,5000
Local Community,WA,6CRA,5000
Local Community,WA,6MKA,5000
Local Community,WA,6NEW,5000
Local Community,WA,8EAR,5000
Local Community,WA,8KTR,5000
Local Community,WA,Beau FM,5000
