on_air_id,community,lon,lat,licensee,description
3UGE,ALEXANDRA/EILDON,145.7111969,-37.19131851,Upper Goulburn Community Radio,General Geographic Area
3VYV,YARRA VALLEY,146.0765228,-37.7206955,Yarra Valley FM Inc.,General Geographic Area
3WAY,WARRNAMBOOL,142.4851379,-38.38347244,Community Radio Endeavour,General Geographic Area
3WBC,CAMBERWELL,145.058197,-37.82624817,Whitehorse Boroondara Community,General Geographic Area
3WPR,WANGARATTA,146.3270874,-36.35402679,Wangaratta Community Radio,General Geographic Area
3WRB,MELBOURNE WEST,144.9568024,-37.83625031,Western Radio Broadcasters Inc.,General Geographic Area
3WTL,BENDIGO,144.2604218,-36.77402878,Central Victorian Gospel Radio Inc.,Religious - Christian
3ZZZ,MELBOURNE,144.9451447,-37.81069565,Ethnic Community Broadcasting,Ethnic - General
4AAA,BRISBANE,153.0280151,-27.46784782,Brisbane Indigenous Media,Aboriginal
4BAY,WYNNUM,153.1691742,-27.43583298,Bayside Community Radio,General Geographic Area
4BCR,BUNDABERG,152.3455353,-24.86935234,Bundy FM Community Radio,General Geographic Area
4BRR,GAYNDAH,151.6261139,-25.62888908,Central Burnett Community Radio,General Geographic Area
4CBL,LOGAN,153.1075134,-27.64361191,Radio Logan Inc.,General Geographic Area
4CCR,CAIRNS,145.7662506,-16.92304039,Cairns Community Broadcasters,General Geographic Area
4CRB,GOLD COAST,153.3343964,-27.99839973,Gold Coast Christian & Community,Senior Citizens
4CRM,MACKAY,149.1830292,-21.14315605,Community Radio Association,General Geographic Area
4DDB,TOOWOOMBA,151.9525909,-27.55723,Darling Downs Broadcasting Society,General Geographic Area
4DDD,DALBY,151.271759,-27.17993546,Dalby Broadcasting Association Inc.,General Geographic Area
4EB,BRISBANE,153.0280151,-27.46784782,Ethnic Broadcasting Association of,Ethnic - General
4FCR,HERVEY BAY,152.8399353,-25.2900753,Fraser Coast Community Radio Inc.,General Geographic Area
4GCR,GYMPIE,152.6679993,-26.18618584,Cooloola Christian Radio,Religious - Christian
4GEM,BOWEN,148.181366,-20.1309433,Bowen Community Broadcasting,General Geographic Area
4K1G,TOWNSVILLE,146.8131714,-19.26480675,Townsville Aboriginal and Islander,Aboriginal
4MBS,BRISBANE,153.0280151,-27.46784782,Music Broadcasting Society of,Fine Music
4MIG,MOUNT ISA,139.4766541,-20.54555511,Mount Isa Christian Broadcasters,Religious - Christian
4MOB,MOUNT ISA,139.4766541,-20.54555511,Mount Isa Aboriginal Media,Aboriginal
4MW,TORRES STRAIT,142.5,-10,Torres Strait Islanders Media,Torres Strait Islanders
4NAG,YEPPOON,150.7677765,-23.12527847,NAG Radio Broadcasting,General Geographic Area
4RED,REDCLIFFE,115.9401016,-31.93738937,Moreton Media Group Inc.,General Geographic Area
4RPH,BRISBANE,153.0280151,-27.46784782,Queensland Radio for the Print,Print Handicapped
4RRFM,CHARLEVILLE,146.3022766,-26.39649773,Bidjara Media & Broadcasting,Aboriginal
